YYYYMMDDHH,MSLP,VMAX,TY,RAD,RAD1,RAD2,RAD3,RAD4,RADP,RRP,MRD,GUSTS,EYE,STORMNAME
2012120218,929,125,TY,50,55,45,45,50,1007,180,15,0,0,5
2012120300,937,115,TY,50,55,45,45,50,1007,180,15,0,0,5
2012120306,929,125,TY,50,55,45,45,50,1007,180,10,0,10,5
2012120718,937,115,TY,50,55,55,50,50,1009,180,15,0,0,5
2012120500,963,80,TY,50,40,35,35,40,1008,180,20,0,0,5
2012120506,967,75,TY,50,40,30,30,40,1008,180,20,0,0,5
2012120512,970,70,TY,50,40,30,30,40,1009,190,20,0,0,5
2012120518,974,65,TY,50,40,30,30,40,1009,190,20,0,0,5
2012120600,974,65,TY,50,40,30,30,40,1007,190,10,0,0,5
2012120712,937,115,TY,50,40,40,40,40,1009,160,10,0,10,5
2012113006,974,65,TY,50,35,35,35,35,1004,170,20,0,0,5
2012113012,967,75,TY,50,35,35,35,35,1006,165,20,0,0,5
2012120118,929,125,TY,64,30,30,35,35,1007,185,15,0,10,5
2012120400,937,115,TY,64,35,30,30,35,1006,160,10,0,0,5
2012120406,948,100,TY,64,35,30,30,35,1006,160,15,0,0,5
2012120412,959,85,TY,64,35,30,30,35,1008,180,20,0,0,5
2012120418,963,80,TY,64,35,30,30,35,1008,180,20,0,0,5
2012120800,941,110,TY,64,35,35,35,35,1009,200,20,0,0,5
2012120806,948,100,TY,64,35,40,40,35,1009,180,20,0,0,5
2012120100,937,115,TY,64,30,30,30,30,1004,140,25,0,15,5
2012120106,937,115,TY,64,30,30,30,30,1006,180,15,0,15,5
2012120112,933,120,TY,64,30,30,30,30,1007,180,10,0,10,5
2012120218,929,125,TY,64,30,25,25,30,1007,180,15,0,0,5
2012120300,937,115,TY,64,30,25,25,30,1007,180,15,0,0,5
2012120306,929,125,TY,64,30,25,25,30,1007,180,10,0,10,5
2012120500,963,80,TY,64,30,20,20,30,1008,180,20,0,0,5
2012120606,974,65,TY,50,30,25,20,30,1008,180,15,0,0,5
2012120718,937,115,TY,64,30,30,30,30,1009,180,15,0,0,5
2012120506,967,75,TY,64,25,20,20,25,1008,180,20,0,0,5
2012120706,963,80,TY,50,25,25,25,25,1009,175,10,0,10,5
2012120712,937,115,TY,64,25,25,25,25,1009,160,10,0,10,5
2012113018,956,90,TY,64,20,20,20,20,1003,165,20,0,10,5
2012113012,967,75,TY,64,15,15,15,15,1006,165,20,0,0,5
2012120706,963,80,TY,64,15,15,15,15,1009,175,10,0,10,5
2013122100,918,140,ST,34,140,150,150,140,1006,210,15,0,20,6
2013122106,918,140,ST,34,140,150,150,140,1006,210,17,0,25,6
2013122112,922,135,ST,34,140,150,150,140,1006,210,15,0,20,6
2013122118,918,140,ST,34,140,150,150,140,1006,210,20,0,30,6
2013122200,918,140,ST,34,140,150,150,140,1005,200,20,0,30,6
2013122206,922,135,ST,34,140,150,150,140,1005,200,15,0,20,6
2013122018,926,130,ST,34,130,160,160,130,1006,210,15,0,20,6
2013122018,926,130,ST,50,50,60,60,50,1006,210,15,0,20,6
2013122100,918,140,ST,50,50,60,60,50,1006,210,15,0,20,6
2013122106,918,140,ST,50,50,60,60,50,1006,210,17,0,25,6
2013122112,922,135,ST,50,50,60,60,50,1006,210,15,0,20,6
2013122118,918,140,ST,50,50,60,60,50,1006,210,20,0,30,6
2013122200,918,140,ST,50,50,60,60,50,1005,200,20,0,30,6
2013122206,922,135,ST,50,50,60,60,50,1005,200,15,0,20,6
2013122018,926,130,ST,64,30,30,30,30,1006,210,15,0,20,6
2013122100,918,140,ST,64,30,30,30,30,1006,210,15,0,20,6
2013122106,918,140,ST,64,30,30,30,30,1006,210,17,0,25,6
2013122112,922,135,ST,64,30,30,30,30,1006,210,15,0,20,6
2013122118,918,140,ST,64,30,30,30,30,1006,210,20,0,30,6
2013122200,918,140,ST,64,30,30,30,30,1005,200,20,0,30,6
2013122206,922,135,ST,64,30,30,30,30,1005,200,15,0,20,6
2016100300,922,135,ST,34,100,80,80,100,1005,220,10,0,10,7
2016100306,911,150,ST,34,100,90,90,100,1005,200,10,0,10,7
2016100312,918,140,ST,34,100,120,100,100,1007,210,10,0,10,7
2016100318,925,135,ST,34,110,120,100,100,1008,172,12,0,15,7
